id,priority,analysis_status,source_status,primary_type,year,title,authors,venue,doi,official_page,official_full_text,local_pdf,research_family,product_representation,lifecycle_coverage,supply_chain_event,manufacturing_transition,provenance,coc_model,privacy_target,verification_statement,data_trust_consistency,trust_assumption,implementation_evaluation,note_path
RW-11,Excluded-Review,제외,Local PDF,DPP System,2026,Digital product passports,Dimitri Petrik; Gero Strobel; Thorsten Schoormann; Frederik Möller; Christoph Hoppe-Ludwig; Virginia Springer,Electronic Markets 36,10.1007/s12525-026-00877-0,https://doi.org/10.1007/s12525-026-00877-0,https://link.springer.com/article/10.1007/s12525-026-00877-0,Papers/DPP Survey/Digital product passports - Electronic Markets.pdf,DPP-fundamentals,Policy-driven digital representation linked to identifiable product batch or model,Whole lifecycle,Conceptual lifecycle interactions,Conceptual,Lifecycle data sharing,Conceptual ecosystem,Privacy as design element,Conceptual requirements rather than cryptographic statement,Definition and conceptual framework,Economic operators and ecosystem governance,Multivocal literature review,Papers/Related Works/notes/11-dpp-fundamentals-2026.md
RW-12,Excluded-Review,제외,Local PDF,DPP System,2026,A Comprehensive Review of Digital Product Passports in Sustainable Manufacturing: Current State Challenges and Future Directions,Foivos Psarommatis; Gokan May,Circular Economy and Sustainability 6,10.1007/s43615-026-00927-x,https://doi.org/10.1007/s43615-026-00927-x,https://link.springer.com/article/10.1007/s43615-026-00927-x,"Papers/DPP Survey/Psarommatis 및 May - 2026 - A Comprehensive Review of Digital Product Passports in Sustainable Manufacturing Current State, Cha.pdf",DPP-review-2026,DPP data models and architecture categories,Whole lifecycle,Review taxonomy,Conceptual,Lifecycle transparency,Information inheritance,Privacy and data governance,No single verification statement,Review of data and trust mechanisms,Multi-stakeholder governance,Systematic review of 225 studies,Papers/Related Works/notes/12-dpp-review-2026.md
RW-13,Excluded-General,제외,Local PDF,Supply Chain Scheme,2022,Blockchain in Supply Chain: Opportunities and Design Considerations,Gowri Sankar Ramachandran; Sidra Malik; Shantanu Pal; Ali Dorri; Volkan Dedeoglu; Salil Kanhere; Raja Jurdak,Handbook on Blockchain,10.1007/978-3-031-07535-3_17,https://doi.org/10.1007/978-3-031-07535-3_17,https://arxiv.org/abs/2108.12032,Papers/Unclassified/Blockchain in Supply Chain - Opportunities and Design Considerations.pdf,SC-design-chapter,Supply-chain data and participant records,Cross-organizational supply-chain operation,Design-level event handling,Conceptual,Ledger-based traceability,Design considerations,Access control and business confidentiality,No single verification statement,Data management; authentication; trust; access control,Consortium governance,Design chapter without one prototype,Papers/Related Works/notes/13-blockchain-supply-chain-design-2022.md
RW-14,Excluded-General,제외,Official Full Text,DPP System,2024,Digital Product Passport Implementation Based on Multi-Blockchain Approach with Decentralized Identifier Provider,Mihai Hulea; Radu Miron; Vlad Muresan,Applied Sciences 14(11),10.3390/app14114874,https://doi.org/10.3390/app14114874,https://mdpi-res.com/d_attachment/applsci/applsci-14-04874/article_deploy/applsci-14-04874-v2.pdf,,DPP-multiblockchain-DID,DPP record associated with decentralized identifier,Creation; update; cross-network access,Create; Update; Query; Transfer access,No,Cross-ledger DPP history,DPP record continuity,Network separation and access boundaries,DID resolution and authorized DPP operation,DID provider; Hyperledger chaincode; hash references,Network administrators and DID provider,Multi-network prototype and performance results,Papers/Related Works/notes/14-dpp-multiblockchain-did-2024.md
RW-15,Excluded-PhysicalTrust,제외,Official Full Text,Supply Chain Scheme,2023,Blockchain-Based Traceability Architecture for Mapping Object-Related Supply Chain Events,Fabian Dietrich; Louis Louw; Daniel Palm,Sensors 23(3),10.3390/s23031410,https://doi.org/10.3390/s23031410,https://mdpi-res.com/d_attachment/sensors/sensors-23-01410/article_deploy/sensors-23-01410-v2.pdf,,Object-event-traceability,Object master data separated from object-related events,Cross-organizational object lifecycle,Create object; Record event; Link actor and location; Query,Event-level,Event chain and object query,Object-event mapping,Not a primary goal,Authorized event recording and immutable mapping,Blockchain identity; event structure; access roles,Authorized data providers and physical-digital mapping,Prototype-based architecture evaluation,Papers/Related Works/notes/15-object-event-traceability-2023.md
RW-16,23,Abstract 검토,Local PDF,DPP System,2024,Digital Product Passport Management with Decentralised Identifiers and Verifiable Credentials,Ismael Illán García; Francesc D. Muñoz-Escoí; Jordi Arjona Aroca; F. Javier Fernández-Bravo Peñuela,CoRR abs/2410.15758,10.48550/arXiv.2410.15758,https://arxiv.org/abs/2410.15758,https://arxiv.org/pdf/2410.15758,Papers/Unclassified/Digital Product Passport Management with Decentralised Identifiers and Verifiable Credentials - Extended Version.pdf,DPP-DID-VC,DPP as a collection of verifiable credentials,Creation and lifecycle update,Issue; Hold; Present; Verify,Component inheritance,Credential provenance,Credential chain,Selective disclosure,Credential signature and presentation validity,DID and VC,Credential issuers,Scenario and performance analysis,
RW-17,7,Abstract 검토,PDF Needed,DPP System,2025,Blockchain-based digital product passport: design principles and demonstration,Hugo Abreu; Vasco Pereira; João Barata,International Journal of Production Research,10.1080/00207543.2025.2464161,https://doi.org/10.1080/00207543.2025.2464161,,,,,,,,,,,,,,,
RW-18,24,Abstract 검토,Official Full Text,DPP-Supply Chain Integrated System,2024,Enhancing trust in global supply chains: Conceptualizing Digital Product Passports for a low-carbon hydrogen market,Paula Heeß; Jakob Rockstuhl; Marc-Fabian Körner; Jens Strüker,Electronic Markets 34,10.1007/s12525-024-00690-7,https://doi.org/10.1007/s12525-024-00690-7,https://link.springer.com/article/10.1007/s12525-024-00690-7,,,,,,,,,,,,,,
RW-19,3,원문 분석,Local PDF,Supply Chain Scheme,2021,Blockchain-based application for the traceability of complex assembly structures,Marlene Kuhn; Felix Funk; Guanlai Zhang; Jörg Franke,Journal of Manufacturing Systems 59,10.1016/j.jmsy.2021.04.013,https://doi.org/10.1016/j.jmsy.2021.04.013,,Papers/Related Works/PDFs/Blockchain-based application for the traceability of complex assembly structures.pdf,Complex-assembly-TokenTrail,ERC-1155 batch tokens and unique-part tokens,Create through assembly-state query,Create; Transfer; Craft; Status update; Controller change; Query,Yes - input instances burned and one output token ID created,craftedToken event assembly graph,Token composition and controller history,Not a primary goal,Available balances and controller authorization; recorded input-output link,ERC-1155 balance; authorization; event provenance,Permissioned participants; PoA majority; physical-token binding,Ethereum PoA prototype; 15 automotive orders; gas and throughput simulation,Papers/Related Works/notes/19-complex-assembly-traceability-2021.md
RW-20,Excluded-General,제외,Official Full Text,Supply Chain Scheme,2022,Tracking and tracing in manufacturing supply chains using blockchain technology,Stefan Seifermann; Indah Hapsara Murti; Janis Oberle,Procedia CIRP 115,10.1016/j.procir.2022.10.069,https://doi.org/10.1016/j.procir.2022.10.069,https://www.sciencedirect.com/science/article/pii/S2212827122015049,,,,,,,,,,,,,,
RW-21,Excluded-General,제외,Official Full Text,Supply Chain Scheme,2023,Blockchain-enabled supply chain traceability – How wide? How deep?,Wafaa A.H. Ahmed; Bart L. MacCarthy,International Journal of Production Economics 263,10.1016/j.ijpe.2023.108963,https://doi.org/10.1016/j.ijpe.2023.108963,https://www.sciencedirect.com/science/article/pii/S0925527323001950,,,,,,,,,,,,,,
RW-22,Excluded-PhysicalTrust,제외,Official Full Text,Supply Chain Scheme,2023,Supply chain traceability using blockchain,Pedro Azevedo; Jorge Gomes; Mário Romão,Operations Management Research 16,10.1007/s12063-023-00359-y,https://doi.org/10.1007/s12063-023-00359-y,https://link.springer.com/article/10.1007/s12063-023-00359-y,,,,,,,,,,,,,,
RW-23,Excluded-AccessControl,제외,Official Full Text,Supply Chain Scheme,2022,Privacy preserving transparent supply chain management through Hyperledger Fabric,Deebthik Ravi; Sashank Ramachandran; Raahul Vignesh; Vinod Ramesh Falmari; M. Brindha,Blockchain: Research and Applications 3(2),10.1016/j.bcra.2022.100072,https://doi.org/10.1016/j.bcra.2022.100072,https://www.sciencedirect.com/science/article/pii/S2096720922000128,,,,,,,,,,,,,,
RW-24,12,Abstract 검토,PDF Needed,Supply Chain Scheme,2024,ProChain: A privacy-preserving blockchain-based supply chain traceability system model,Junzheng Li; Zhenqi Wang; Shaopeng Guan; Youliang Cao,Computers & Industrial Engineering 187,10.1016/j.cie.2023.109831,https://doi.org/10.1016/j.cie.2023.109831,,,,,,,,,,,,,,,
RW-25,21,Abstract 검토,PDF Needed,Supply Chain Scheme,2022,TPPSUPPLY: A traceable and privacy-preserving blockchain system architecture for the supply chain,Bora Buğra Sezer; Selçuk Topal; Urfat Nuriyev,Journal of Information Security and Applications 66,10.1016/j.jisa.2022.103116,https://doi.org/10.1016/j.jisa.2022.103116,,,,,,,,,,,,,,,
RW-26,15,Abstract 검토,PDF Needed,Supply Chain Scheme,2021,Blockchain-based privacy preservation for supply chains supporting lightweight multi-hop information accountability,Lennart Bader; Jan Pennekamp; Roman Matzutt; David Hedderich; Markus Kowalski; Volker Lücken; Klaus Wehrle,Information Processing & Management 58,10.1016/j.ipm.2021.102529,https://doi.org/10.1016/j.ipm.2021.102529,,,,,,,,,,,,,,,
RW-27,Excluded-General,제외,PDF Needed,DPP System,2023,Digital product passports for a circular economy: Data needs for product life cycle decision-making,Steffen Foldager Jensen; Jesper Hemdrup Kristensen; Sofie Adamsen; Andreas Christensen; Brian Vejrum Waehrens,Sustainable Production and Consumption 37,10.1016/j.spc.2023.02.021,https://doi.org/10.1016/j.spc.2023.02.021,,,,,,,,,,,,,,,
RW-28,Excluded-General,제외,PDF Needed,DPP System,2023,A proposed universal definition of a Digital Product Passport Ecosystem,Melanie R.N. King; Paul D. Timms; Sara Mountney,Journal of Cleaner Production 384,10.1016/j.jclepro.2022.135538,https://doi.org/10.1016/j.jclepro.2022.135538,,,,,,,,,,,,,,,
RW-29,Excluded-General,제외,Official Full Text,DPP System,2023,Stop Guessing in the Dark: Identified Requirements for Digital Product Passport Systems,Maike Jansen; Tobias Meisen; Christiane Plociennik; Holger Berg; André Pomp; Waldemar Windholz,Systems 11(3),10.3390/systems11030123,https://doi.org/10.3390/systems11030123,https://www.mdpi.com/2079-8954/11/3/123,,,,,,,,,,,,,,
RW-30,Excluded-General,제외,PDF Needed,DPP System,2024,Implementing a Digital Product Passport to Support the Open-Source Hardware Community,Denis Roio; Adam Burns; Stefano Bocconi,Springer chapter,10.1007/978-3-658-44114-2_8,https://doi.org/10.1007/978-3-658-44114-2_8,,,,,,,,,,,,,,,
RW-31,Excluded-Review,제외,Official Full Text,DPP System,2026,Trustworthy Digital Product Passports based on Distributed Ledgers - A Review and Guidelines,Tiphaine Henry; Loïk Assekour; Carolynn Bernier; Sara Tucci-Piergiovanni; Nadège Troussier,Procedia Computer Science 277,10.1016/j.procs.2026.02.101,https://doi.org/10.1016/j.procs.2026.02.101,https://www.sciencedirect.com/science/article/pii/S1877050926002176,,,,,,,,,,,,,,
RW-32,Excluded-General,제외,PDF Needed,Supply Chain Scheme,2022,Demonstration of a blockchain-based framework using smart contracts for supply chain collaboration,Tarun Kumar Agrawal; Jannis Angelis; Wajid Ali Khilji; Ravi Kalaiarasan; Magnus Wiktorsson,International Journal of Production Research,10.1080/00207543.2022.2039413,https://doi.org/10.1080/00207543.2022.2039413,,,,,,,,,,,,,,,
RW-33,13,Abstract 검토,PDF Needed,Supply Chain Scheme,2019,DECOUPLES,Mourad El Maouchi; Oğuzhan Ersoy; Zekeriya Erkin,ACM SAC 2019,10.1145/3297280.3297318,https://doi.org/10.1145/3297280.3297318,,,,,,,,,,,,,,,
RW-34,22,Abstract 검토,PDF Needed,Supply Chain Scheme,2025,Scalable Supply Chain Product Source Verification Using Zero-Knowledge Proofs,Gokulakrishnan D; Tanya Sinha; Utkarsh,IEEE ICCCT 2025,10.1109/ICCCT63501.2025.11019766,https://doi.org/10.1109/ICCCT63501.2025.11019766,,,,,,,,,,,,,,,
RW-35,9,Abstract 검토,Official Full Text,DPP-Supply Chain Integrated System,2025,Human-Centric Digital Product Passports: Enabling Verifiable Information Sharing for Sustainable Consumption through Wallet-Based Identity Management and Zero-Knowledge Proofs,Matthias Babel; Claus Guthmann; Marc-Fabian Körner; Tobias Kranz; Jens Strüker,HICSS 2025,,https://eref.uni-bayreuth.de/id/eprint/92416,https://www.fim-rc.de/Paperbibliothek/Veroeffentlicht/4968/id-4968.pdf,,Human-Centric DPP,Product-specific textile DPP and NFT,Supply chain to end consumer,,,,,Supply-chain actors and process information,,,,,
RW-36,19,Abstract 검토,Official Full Text,DPP-Supply Chain Integrated System,2025,Decentralized Digital Product Passport Building Blocks for Enhancing Supply Chain Sovereignty and Circular Economy Practices,Santiago de Diego; Ivan Gutierrez-Aguero,IEEE Access 13,10.1109/ACCESS.2025.3594826,https://ieeexplore.ieee.org/document/11106427/,https://doi.org/10.1109/ACCESS.2025.3594826,,Decentralized DPP Building Blocks,Asset Administration Shell based DPP,Cross-stakeholder DPP management,,,,,,,,,,
RW-37,18,Abstract 검토,Official Full Text,DPP-Supply Chain Integrated System,2024,Connecting Producers and Recyclers: A Digital Product Passport Concept and Implementation Suitable for End-of-Life Management,Christiane Plociennik; Ali Nazeri; Mohammad Hossein Rimaz; Svenja Knetsch; Alice Do Carmo Precci Lopes; Tabea Hagedorn; Julian Baehr; Malte Vogelgesang; Chanchan Li; Wladislaw Benner; Bernd Kellerer; Emanuel Ionescu; Martin Ruskowski; Anke Weidenkaff,Procedia CIRP 2024,10.1016/j.procir.2024.02.026,https://doi.org/10.1016/j.procir.2024.02.026,https://publica.fraunhofer.de/entities/publication/33619f65-8b67-45ad-bbcf-6523bd94725e,,Producer-Recycler DPP,DPP and Asset Administration Shell,Production to end-of-life recycling,,,,,,,,,,
RW-38,25,Abstract 검토,Official Full Text,DPP-Supply Chain Integrated System,2025,A Blockchain-Based Digital Product Passport System Providing a Federated Learning Environment for Collaboration Between Recycling Centers and Manufacturers to Enable Recycling Automation,Min Ji Kim; Cheol Hyeon Han; Kyung Jin Park; Ji Sung Moon; Jumyung Um,Sustainability 17(6),10.3390/su17062679,https://www.mdpi.com/2071-1050/17/6/2679,https://www.mdpi.com/2071-1050/17/6/2679/pdf,,DPP Recycling Automation,Blockchain-based DPP and recycling data,Manufacturer to recycling center,,,,,,,,,,
RW-39,16,Abstract 검토,PDF Needed,DPP-Supply Chain Integrated System,2024,The Digital Product Passport: Enabling Interoperable Information Flows Through Blockchain Consortia for Sustainability,Maximilian Greiner; Karl Seidenfad; Christoph Langewisch; Andreas Hofmann; Ulrike Lechner,I4CS 2024; CCIS 2109,10.1007/978-3-031-60433-1_21,https://link.springer.com/chapter/10.1007/978-3-031-60433-1_21,,,Blockchain Consortium DPP,,Interorganizational DPP information flows,,,,,,,,,,
RW-40,17,Abstract 검토,Official Full Text,DPP-Supply Chain Integrated System,2024,A Reference Architecture for Digital Product Passports at Batch Level to Support Manufacturing Supply Chains,Malina Wiesner; João Moreira; Renata Guizzardi; Paul Scholz,RCIS 2024; LNBIP 513,10.1007/978-3-031-59465-6_19,https://link.springer.com/chapter/10.1007/978-3-031-59465-6_19,https://ris.utwente.nl/ws/portalfiles/portal/453560583/978-3-031-59465-6_19.pdf,,Batch-Level DPP Reference Architecture,Batch and component level DPP,Manufacturing supply chain,,,,,,,,,,
RW-41,26,Abstract 검토,PDF Needed,DPP-Supply Chain Integrated System,2024,Blockchain-Enabled Digital Product Passports for Enhancing Security and Lifecycle Management in Healthcare Devices,Fatemeh Stodt; Philipp Ruf; Christoph Reich,IEEE CSNet 2024,10.1109/CSNet64211.2024.10851725,https://doi.org/10.1109/CSNet64211.2024.10851725,,,Healthcare Device DPP,Healthcare-device DPP,Manufacturing maintenance updates and use,,,,,,,,,,
RW-42,20,Abstract 검토,PDF Needed,Supply Chain Scheme,2025,"Enhancing transparency and traceability in complex supply chains: Fine-grained access control, accuracy evaluation, and secure storage",Haihua Zhu; Yu Cheng; Xiuli Song; Yunlong Zhou; Fan Liu; Zigang Chen,Journal of Information Security and Applications 93,10.1016/j.jisa.2025.104169,https://www.sciencedirect.com/science/article/abs/pii/S2214212625002066,,,Complex Supply Chain Secure Sharing,,Product information across supply-chain stages,,,,,Shared product information and access policy,,,,,
RW-43,6,Abstract 검토,Official Full Text,Supply Chain Scheme,2023,New Framework for Complex Assembly Digitalization and Traceability Using Bill of Assembly and Smart Contracts,Yuval Cohen; Shai Rozenes,Applied Sciences 13(3),10.3390/app13031884,https://www.mdpi.com/2076-3417/13/3/1884,https://www.mdpi.com/2076-3417/13/3/1884/pdf,,Bill of Assembly Smart Contracts,Bill of Assembly linking parts processes and resources,Complex assembly and sub-assembly process,Assembly activity and validation,Yes,Assembly documentation and component hierarchy,,,,,,,
RW-44,27,Abstract 검토,Official Full Text,DPP-Supply Chain Integrated System,2024,A Digital Twin-Based Digital Product Passport,José Monteiro; João Barata; Sara Gentilini,Procedia Computer Science 246,10.1016/j.procs.2024.09.251,https://www.sciencedirect.com/science/article/pii/S1877050924022701,https://doi.org/10.1016/j.procs.2024.09.251,,Digital Twin-Based DPP,Digital Twin based food DPP,Origin production sustainability and disposal,,,,,,,,,,
